名称,郵便番号,住所,電話番号,URL,備考,経度,緯度,分類
阿佐谷北児童遊園,166-0001,阿佐谷北1丁目11番3号,,https://www.city.suginami.tokyo.jp/shisetsu/kouen/01/asagayakita/1007052.html,,139.640906699997,35.7059916697922,公園 
阿佐谷中央公園,166-0001,阿佐谷北1丁目39番24号,,https://www.city.suginami.tokyo.jp/shisetsu/kouen/01/asagayakita/1007053.html,,139.638067600028,35.7093848199585,公園 
阿佐谷西公園,166-0001,阿佐谷北2丁目32番21号,,https://www.city.suginami.tokyo.jp/shisetsu/kouen/01/asagayakita/1007054.html,,139.633283500167,35.7071286398131,公園 
松山児童遊園,166-0001,阿佐谷北3丁目35番2号,,https://www.city.suginami.tokyo.jp/shisetsu/kouen/01/asagayakita/1007055.html,,139.632476300178,35.7113672100105,公園 
阿佐谷こぶし緑地,166-0001,阿佐谷北3丁目36番2号,,https://www.city.suginami.tokyo.jp/shisetsu/kouen/01/asagayakita/1007056.html,,139.633525500175,35.7113481800129,公園 
阿佐谷かりん公園,166-0001,阿佐谷北4丁目20番13号,,https://www.city.suginami.tokyo.jp/shisetsu/kouen/01/asagayakita/1007057.html,,139.635382300043,35.7126984399902,公園 
お伊勢の森児童遊園,166-0001,阿佐谷北5丁目35番5号,,https://www.city.suginami.tokyo.jp/shisetsu/kouen/01/asagayakita/1007058.html,,139.639809400005,35.7108864899848,公園 
Aさんの庭,166-0001,阿佐谷北5丁目45番13号,,https://www.city.suginami.tokyo.jp/shisetsu/kouen/01/asagayakita/1007059.html,,139.640588199994,35.7112779099894,公園 
阿佐谷北第二児童遊園,166-0001,阿佐谷北6丁目7番8号,,https://www.city.suginami.tokyo.jp/shisetsu/kouen/01/asagayakita/1007060.html,,139.639617199982,35.7138875798443,公園 
小七山公園,166-0001,阿佐谷北6丁目30番14号,,https://www.city.suginami.tokyo.jp/shisetsu/kouen/01/asagayakita/1007061.html,,139.636386599983,35.7163022797972,公園 
南阿佐谷すずらん緑地,166-0004,阿佐谷南1丁目11番5号,,https://www.city.suginami.tokyo.jp/shisetsu/kouen/01/asagayaminami/1007062.html,,139.637911900016,35.6989979996485,公園 
馬橋児童遊園,166-0004,阿佐谷南1丁目13番33号,,https://www.city.suginami.tokyo.jp/shisetsu/kouen/01/asagayaminami/1007063.html,,139.638733800017,35.6994758397532,公園 
阿佐谷児童遊園,166-0004,阿佐谷南1丁目18番9号,,https://www.city.suginami.tokyo.jp/shisetsu/kouen/01/asagayaminami/1007064.html,,139.637618900023,35.7003373396381,公園 
阿佐谷にしはら公園,166-0004,阿佐谷南1丁目21番28号,,https://www.city.suginami.tokyo.jp/shisetsu/kouen/01/asagayaminami/1007065.html,,139.641717500011,35.6998506197771,公園 
阿佐谷東公園,167-0004,阿佐谷南1丁目42番6号,,https://www.city.suginami.tokyo.jp/shisetsu/kouen/01/asagayaminami/1007066.html,,139.640096200013,35.7018248996466,公園 
阿佐谷ことり公園,167-0004,阿佐谷南3丁目4番16号,,https://www.city.suginami.tokyo.jp/shisetsu/kouen/01/asagayaminami/1007067.html,,139.633948300044,35.7013888096122,公園 
阿佐谷南公園,166-0004,阿佐谷南3丁目16番18号,,https://www.city.suginami.tokyo.jp/shisetsu/kouen/01/asagayaminami/1007068.html,,139.629714500009,35.7034362597821,公園 
