owner,color,name,name_kana,address,size_m2,lng,lat,type,Id,公園番号,公園種別,主な施設,主な遊具,閉鎖管理施設,トイレ,その他情報,備考1,備考2
中野区,red,上鷺西公園,かみさぎにし,上鷺宮５－１７,194.16,139.625233738246,35.7313006885554,街区公園,101,104,街区公園,,,,車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×,,,
中野区,red,西鷺公園,にしさぎ,鷺　宮６－３１,429.48,139.626228235323,35.7266488163976,街区公園,56,58,街区公園,,複合遊具,,車いす用×、オストメイト×、男子大×、男子小１、女子×、共用１、ベビーシート×、ベビーチェア×,,,
中野区,red,八成公園,はちなり,上鷺宮５－１９,3868.32,139.626381457772,35.7316498552522,街区公園,26,27,街区公園,雑木林,ブランコ、砂場、鉄棒、ｸﾗｲﾐﾝﾝｸﾞ遊具,,車いす用○、オストメイト○、男子大×、男子小×、女子×、共用×、ベビーシート○、ベビーチェア○,,※公園北側の高齢者農園は福祉推進課,
中野区,red,上鷺いこい公園,かみさぎいこい,上鷺宮４－１２,511.82,139.627210037703,35.7334755568622,街区公園,150,156,街区公園,,,,なし,,,
中野区,red,北中野公園,きたなかの,上鷺宮５－８,2181.36,139.627203564902,35.7286020383718,街区公園,17,18,街区公園,,ブランコ、砂場、複合遊具、鉄棒,,車いす用○、オストメイト○、男子大１、男子小１、女子１、共用×、ベビーシート○、ベビーチェア○,,,
中野区,red,三角広場,さんかく,鷺　宮６－５,133.91,139.628191182554,35.7236185373943,その他,171,203,その他,,,,なし,,,
中野区,red,上鷺公園,かみさぎ,上鷺宮４－８,1020.74,139.628489365685,35.7320991887984,街区公園,12,13,街区公園,,ブランコ、砂場、複合遊具,,車いす用○、オストメイト×、男子大×、男子小１、女子×、共用１、ベビーシート×、ベビーチェア×,,,
中野区,red,かみさぎ北公園,かみさぎきた,上鷺宮４－６,133.65,139.629132462659,35.7332134683872,街区公園,157,163,街区公園,,,,なし,,,
中野区,red,風の子ひろば,かぜのこひろば,上鷺宮４－１３，１４,2904.48,139.628773489862,35.7341203616026,街区公園,142,148,街区公園,,複合遊具,,車いす用○、オストメイト×、男子大×、男子小１、女子×、共用１、ベビーシート×、ベビーチェア×,,,
中野区,red,鷺六公園,さぎろく,鷺　宮６－２４,1026.49,139.629778305476,35.7255748143662,街区公園,103,107,街区公園,,ブランコ、滑り台、砂場、鉄棒、健康遊具,,車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×,,,
中野区,red,武蔵台公園,むさしだい,上鷺宮５－２６,1061.05,139.630221875459,35.7306579003552,街区公園,16,17,街区公園,,ブランコ、砂場、複合遊具、鉄棒,,なし,,,
中野区,red,とちの木公園,とちのき,上鷺宮２－２２,195.8,139.631522255664,35.7312954672398,街区公園,156,162,街区公園,,,,なし,,,
